timestamp,package_number,gesture_name,gesture_number,s1,s2,s3,s4,s5,s6,s7,s8
1449106886330,3,3,7,-4,-4,11,0,-4,3,-2,-1
1449106886331,1,3,7,2,-6,-8,-2,0,-4,-10,1
1449106886331,1,3,7,-3,-7,-11,-5,-7,-7,-4,0
1449106886332,2,3,7,-2,-1,-7,-3,0,-3,-1,-1
1449106886332,2,3,7,-1,-3,-1,-1,-1,-3,-5,-3
1449106886378,3,3,7,0,-3,-6,-2,1,5,5,1
1449106886378,3,3,7,-3,-8,-2,-1,-3,-11,-5,-1
1449106886379,0,3,7,1,-3,2,2,3,1,-4,-5
1449106886379,2,3,7,0,1,5,0,-3,-12,-6,-2
1449106886379,0,3,7,2,-4,2,4,6,13,8,0
1449106886379,2,3,7,-6,-9,-3,-8,-4,2,-1,-1
1449106886381,3,3,7,3,6,5,6,4,12,8,0
1449106886381,3,3,7,-2,1,-9,0,5,4,3,-6
1449106886427,0,3,7,-8,-11,-26,0,3,13,4,-2
1449106886427,0,3,7,1,13,16,-1,-5,-9,-9,1
1449106886428,3,3,7,2,0,-6,-6,-8,1,5,3
1449106886428,1,3,7,1,-1,-8,1,3,-8,-4,-5
1449106886428,1,3,7,2,3,-11,0,3,2,4,8
1449106886428,3,3,7,0,-3,-6,-1,-1,-8,-5,1
1449106886429,0,3,7,1,-4,-9,4,4,-4,-5,2
1449106886429,0,3,7,0,-1,-3,1,3,6,2,-1
1449106886476,1,3,7,-2,-1,-5,1,2,3,5,-1
1449106886476,1,3,7,-1,-3,-2,-3,-3,-5,-2,-1
1449106886476,2,3,7,1,0,-1,0,1,1,1,0
1449106886476,2,3,7,-2,-3,-8,-4,-2,-3,0,-1
1449106886477,3,3,7,0,-3,1,-1,1,1,-4,2
1449106886477,3,3,7,0,-4,-3,-1,-3,-12,-3,-3
1449106886478,0,3,7,-2,4,6,-5,-6,-1,0,-1
1449106886478,0,3,7,0,-2,-6,-1,0,8,0,0
1449106886525,1,3,7,-1,-7,-2,2,0,-7,-3,2
1449106886525,1,3,7,-2,-3,-1,0,-2,5,3,-2
1449106886528,2,3,7,0,0,-5,-4,-7,-9,-3,-5
1449106886528,0,3,7,0,-6,-1,-1,-1,-1,2,2
1449106886528,1,3,7,-2,2,7,-4,-8,-5,-3,-3
1449106886528,1,3,7,-4,-10,-8,-6,-2,2,1,-4
1449106886528,0,3,7,-1,-2,-11,1,0,-3,-5,-3
1449106886528,2,3,7,1,0,6,-4,-3,-1,0,4
1449106886573,2,3,7,-3,-4,0,-1,4,2,-3,-3
1449106886573,2,3,7,4,-2,4,2,2,1,2,13
1449106886574,3,3,7,1,1,5,2,0,14,7,1
1449106886574,3,3,7,-2,-7,-5,-4,-6,-9,-5,-4
1449106886575,1,3,7,-2,0,7,1,3,-5,-2,-1
1449106886575,1,3,7,-5,-7,-6,0,3,4,-3,-7
1449106886576,2,3,7,5,-4,7,-2,-1,-4,-2,-3
1449106886576,2,3,7,-2,-6,-2,-3,-4,0,7,6
1449106886622,3,3,7,0,-3,-2,1,4,5,6,-2
1449106886622,3,3,7,8,1,5,1,-8,2,0,1
1449106886625,0,3,7,-4,-6,-1,0,0,-1,3,-2
1449106886625,0,3,7,-1,0,-1,4,11,6,-2,1
1449106886626,2,3,7,1,2,4,0,-2,2,1,0
1449106886626,2,3,7,-4,-4,-11,9,13,-1,0,-2
1449106886627,3,3,7,17,9,14,3,-4,-10,-4,2
1449106886627,3,3,7,-1,-3,2,-3,3,7,7,4
1449106886671,1,3,7,-2,-4,-17,11,8,5,3,2
1449106886671,0,3,7,2,0,5,-12,-10,-5,-3,-5
1449106886671,1,3,7,-1,-1,0,-3,1,0,-2,-6
1449106886671,0,3,7,-26,-18,-3,-9,-5,-3,-6,-9
1449106886672,3,3,7,0,2,-3,-2,-6,-1,18,12
1449106886672,3,3,7,2,2,4,0,2,-3,-20,-6
1449106886719,0,3,7,-7,-8,-18,-9,0,-2,-2,-4
1449106886719,0,3,7,7,-4,-6,4,3,5,4,-3
1449106886720,1,3,7,-8,-7,-2,0,-3,-12,-32,-13
1449106886720,1,3,7,0,3,14,8,4,6,8,5
1449106886721,2,3,7,8,9,5,-4,-4,-3,4,8
1449106886721,2,3,7,1,-2,-3,-3,-4,0,10,3
1449106886722,0,3,7,1,-11,-2,-4,12,0,-5,-3
1449106886722,0,3,7,-3,10,20,13,-5,-4,-1,3
1449106886768,1,3,7,-1,-5,-17,-18,-12,-10,-1,0
1449106886768,1,3,7,-11,-5,22,7,7,-2,-2,-1
1449106886769,2,3,7,8,4,1,-8,-8,-3,-9,-4
1449106886769,2,3,7,-8,-14,-13,-11,-4,-7,-21,-20
1449106886770,3,3,7,4,2,-17,-6,0,7,7,18
1449106886770,3,3,7,-1,6,21,-2,-6,3,27,8
1449106886771,1,3,7,2,0,-23,-31,-6,1,9,-3
1449106886771,1,3,7,-6,-2,26,5,-1,-3,-7,-7
1449106886817,2,3,7,10,-6,-7,10,2,-5,-18,-2
1449106886817,2,3,7,-2,13,17,29,7,5,14,4
1449106886818,3,3,7,-19,-5,6,3,7,4,6,0
1449106886818,3,3,7,-3,-15,-1,3,-3,-3,-23,-20
1449106886819,1,3,7,0,2,6,-4,-1,10,6,6
1449106886819,1,3,7,-12,-24,-23,6,-4,-9,-8,-4
1449106886819,2,3,7,2,1,-32,-28,-4,-1,-1,-2
1449106886819,2,3,7,-7,-2,47,-2,-4,-3,6,-3
1449106886866,3,3,7,2,7,30,18,9,-2,-9,-4
1449106886866,3,3,7,3,-7,-27,1,-1,-3,5,5
1449106886867,0,3,7,-1,1,-29,-13,4,7,3,8
1449106886867,2,3,7,10,6,15,0,-6,-1,7,1
1449106886867,2,3,7,5,-9,-5,6,-3,-3,-13,-1
1449106886867,0,3,7,4,3,18,0,-1,2,5,-3
1449106886868,3,3,7,4,4,1,-1,-6,-6,-11,-7
1449106886868,3,3,7,-38,-10,-19,-8,-3,-9,-13,-12
1449106886915,0,3,7,16,5,-10,-25,-3,0,20,18
1449106886915,0,3,7,-28,-17,24,44,8,-1,-15,-20
1449106886916,3,3,7,13,10,20,13,-5,-6,-3,3
1449106886916,1,3,7,13,3,-24,-20,-4,-15,-44,-2
1449106886916,3,3,7,12,17,-35,-28,-17,-10,-15,-1
1449106886916,1,3,7,-24,-26,5,17,4,15,47,1
1449106886917,0,3,7,-2,-2,24,24,10,1,20,12
1449106886917,0,3,7,3,4,-57,-13,3,6,-8,-5
1449106886963,1,3,7,-27,-21,59,20,-1,-4,-11,-20
1449106886963,1,3,7,1,-13,-46,-38,-12,-18,-29,-5
1449106886964,2,3,7,17,7,8,5,3,9,24,15
1449106886964,2,3,7,-16,-6,-5,2,1,-10,-40,-6
1449106886965,0,3,7,-10,-15,-21,29,1,-8,-20,-3
1449106886965,0,3,7,20,12,-4,-15,-11,-5,4,3
1449106886966,1,3,7,-9,8,-1,20,13,3,-1,2
1449106886966,1,3,7,18,17,-34,-20,-2,-4,4,9
1449106887012,2,3,7,1,-13,11,0,3,6,15,1
1449106887012,2,3,7,7,14,25,11,3,11,-1,0
1449106887013,1,3,7,12,15,12,-14,-7,0,3,1
1449106887013,3,3,7,5,-5,-41,-36,-6,-1,4,3
1449106887013,3,3,7,-6,-12,33,30,-4,-2,2,-2
1449106887013,1,3,7,14,20,-26,12,2,-8,-21,-1
1449106887014,2,3,7,3,14,9,-17,-8,-10,-9,-7
1449106887014,2,3,7,-36,-51,25,-6,-2,0,-12,1
1449106887061,0,3,7,23,21,-3,3,-9,-6,5,2
1449106887061,0,3,7,-11,-4,1,-2,-3,-1,3,-1
1449106887061,3,3,7,15,3,1,2,4,6,16,10
1449106887061,3,3,7,-12,-14,-25,3,4,6,2,-4
1449106887062,2,3,7,-5,-2,-7,-46,4,15,12,1
1449106887062,2,3,7,-7,-12,-7,21,8,-2,-4,-9
1449106887063,3,3,7,6,9,39,8,2,-1,0,6
1449106887063,3,3,7,7,-7,-9,11,0,1,5,-6
1449106887110,0,3,7,-14,1,-3,-14,-7,2,38,9
1449106887110,0,3,7,24,10,-8,-6,-8,-11,-31,-2
1449106887111,1,3,7,8,-2,-26,-18,-6,-3,0,10
1449106887111,3,3,7,-9,-6,3,-8,0,2,6,3
1449106887111,3,3,7,-50,-40,-3,-6,-7,-9,-8,-24
1449106887111,1,3,7,-51,-29,34,10,4,6,28,-19
1449106887112,0,3,7,-5,-19,-19,-5,-4,-9,-18,-7
1449106887112,0,3,7,1,23,11,-5,-2,3,21,4
1449106887158,1,3,7,79,36,-16,-13,-7,-5,-17,14
1449106887158,1,3,7,-56,-28,25,31,14,2,-3,-14
1449106887159,3,3,7,-15,-27,-22,0,6,2,-6,-3
1449106887159,2,3,7,-58,-49,28,-31,-18,-14,-15,-23
1449106887159,2,3,7,26,12,-44,0,4,4,-6,-4
1449106887159,3,3,7,35,22,-19,-1,1,9,7,11
1449106887161,0,3,7,24,34,1,3,-6,0,10,2
1449106887161,0,3,7,-1,3,-4,24,16,4,-3,8
1449106887207,1,3,7,-32,-25,7,5,-4,-2,-23,-2
1449106887207,1,3,7,20,21,16,-17,0,-2,20,14
1449106887208,2,3,7,-11,-3,-21,10,6,2,10,-16
1449106887208,2,3,7,-10,-5,11,2,-8,-7,-25,-17
1449106887208,0,3,7,-16,-12,-38,-22,-3,-3,-25,-6
1449106887208,0,3,7,-8,-14,-3,-12,-7,-11,-23,-14
1449106887209,1,3,7,-28,-1,8,-23,-7,-4,-3,-15
1449106887209,1,3,7,39,29,8,35,21,9,6,13
1449106887256,2,3,7,22,41,23,7,21,13,22,4
1449106887256,2,3,7,29,-9,0,21,-6,-5,-12,13
1449106887257,3,3,7,-32,-65,7,-14,-19,-15,-26,-10
1449106887257,3,3,7,32,9,-17,-2,5,0,-5,-4
1449106887257,1,3,7,-69,-43,28,5,-9,-16,-29,-32
1449106887257,1,3,7,52,38,-19,7,10,1,-35,-15
1449106887258,2,3,7,22,-14,-63,-5,2,-8,-23,-2
1449106887258,2,3,7,0,-19,6,4,-7,-14,-28,-10
1449106887304,3,3,7,23,1,-1,-13,-6,-1,6,13
1449106887304,3,3,7,-13,9,12,8,2,8,32,19
1449106887305,0,3,7,10,20,26,0,-4,-5,-10,-25
1449106887305,0,3,7,-97,-109,-28,-5,-11,-10,-22,-33
1449106887306,2,3,7,34,26,15,0,-1,6,19,21
1449106887306,2,3,7,31,24,5,-15,-14,-6,-6,-2
1449106887307,3,3,7,21,24,-10,47,17,7,8,7
1449106887307,3,3,7,7,-9,37,-32,-6,0,7,-12
1449106887353,0,3,7,13,0,-8,26,13,4,3,-2
1449106887353,0,3,7,-87,-65,-5,-14,-6,-9,-10,-14
1449106887354,3,3,7,-57,-48,-27,5,11,-1,-1,-31
1449106887354,3,3,7,19,27,-18,0,-2,0,-6,15
1449106887354,1,3,7,-19,-11,-12,1,-4,3,14,11
1449106887354,1,3,7,84,55,-3,-6,-12,-9,-16,14
1449106887356,0,3,7,66,18,-60,-7,6,16,40,19
1449106887356,0,3,7,21,25,55,-1,-14,-12,-8,6
1449106887402,1,3,7,-67,-40,7,2,-9,-4,-16,-11
1449106887402,1,3,7,-7,7,31,-1,-5,-12,-14,8
1449106887403,2,3,7,53,33,-11,46,1,0,-2,10
1449106887403,2,3,7,-19,-15,-12,-33,-2,-3,2,-5
1449106887404,0,3,7,-41,-18,-11,-25,-7,-7,-8,-6
1449106887404,1,3,7,43,35,7,-19,-9,5,20,20
1449106887404,0,3,7,13,11,24,45,3,2,1,11
1449106887404,1,3,7,-25,-33,-12,9,-8,-11,-23,-31
1449106887451,2,3,7,-32,-12,28,-11,2,15,24,-1
1449106887451,2,3,7,41,16,14,4,3,0,3,4
1449106887452,1,3,7,-12,-5,34,7,-1,-6,-12,-7
1449106887452,3,3,7,-66,-55,-16,6,-6,-14,-31,-52
1449106887452,3,3,7,38,24,-2,1,1,7,27,24
1449106887452,1,3,7,-96,-51,-21,-20,-9,3,-4,-25
1449106887453,2,3,7,11,6,-46,37,19,7,2,-2
1449106887453,2,3,7,5,11,-6,-87,-4,4,6,16
1449106887499,3,3,7,19,-5,29,-2,-5,-1,-4,-4
1449106887499,3,3,7,28,9,38,62,10,-10,-13,1
1449106887500,0,3,7,1,8,14,13,-2,-6,-11,-6
1449106887500,0,3,7,-69,-35,6,2,11,9,6,-10
1449106887501,1,3,7,-33,-27,21,-12,-8,-8,-11,-6
1449106887501,1,3,7,12,4,-94,-43,-10,3,9,12
1449106887502,2,3,7,39,35,58,2,-6,-5,3,12
1449106887502,2,3,7,-66,-42,-10,11,2,-11,-31,-36
1449106887548,3,3,7,-3,1,15,-12,-7,-13,-22,-13
1449106887548,3,3,7,64,34,-58,21,11,17,37,22
1449106887549,2,3,7,75,36,-41,-4,-5,0,2,20
1449106887549,0,3,7,15,6,9,9,-9,-18,-16,-7
1449106887549,2,3,7,-62,-4,46,3,-4,4,-3,-18
